pitch_type,pitch_name,metric,years,n_pitcher_seasons,mean,sd,p10,p25,p50,p75,p90,dist_20,dist_30,dist_40,dist_45,dist_50,dist_55,dist_60,dist_65,dist_70,dist_80,sample_rule
FF,Four-Seam Fastball,velo,V1 embedded reference,,94.3,1.8,,,94.3,,,88.89999999999999,90.7,92.5,93.4,94.3,95.2,96.1,97.0,97.9,99.7,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FF,Four-Seam Fastball,ivb,V1 embedded reference,,15.7,2.0,,,15.7,,,9.7,11.7,13.7,14.7,15.7,16.7,17.7,18.7,19.7,21.7,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FF,Four-Seam Fastball,hb_normalized,V1 embedded reference,,7.5,3.0,,,7.5,,,-1.5,1.5,4.5,6.0,7.5,9.0,10.5,12.0,13.5,16.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SI,Sinker / Two-Seam,velo,V1 embedded reference,,93.3,1.8,,,93.3,,,87.89999999999999,89.7,91.5,92.4,93.3,94.2,95.1,96.0,96.9,98.7,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SI,Sinker / Two-Seam,ivb,V1 embedded reference,,10.0,2.8,,,10.0,,,1.6000000000000014,4.4,7.2,8.6,10.0,11.4,12.8,14.2,15.6,18.4,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SI,Sinker / Two-Seam,hb_normalized,V1 embedded reference,,15.0,3.0,,,15.0,,,6.0,9.0,12.0,13.5,15.0,16.5,18.0,19.5,21.0,24.0,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FC,Cutter,velo,V1 embedded reference,,89.6,2.5,,,89.6,,,82.1,84.6,87.1,88.35,89.6,90.85,92.1,93.35,94.6,97.1,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FC,Cutter,ivb,V1 embedded reference,,8.1,3.0,,,8.1,,,-0.9000000000000004,2.1,5.1,6.6,8.1,9.6,11.1,12.6,14.1,17.1,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FC,Cutter,hb_normalized,V1 embedded reference,,-3.0,2.5,,,-3.0,,,-10.5,-8.0,-5.5,-4.25,-3.0,-1.75,-0.5,0.75,2.0,4.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SL,Slider,velo,V1 embedded reference,,85.6,2.6,,,85.6,,,77.8,80.39999999999999,83.0,84.3,85.6,86.89999999999999,88.19999999999999,89.5,90.8,93.4,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SL,Slider,ivb,V1 embedded reference,,1.6,3.0,,,1.6,,,-7.4,-4.4,-1.4,0.1,1.6,3.1,4.6,6.1,7.6,10.6,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
SL,Slider,hb_normalized,V1 embedded reference,,-5.0,3.5,,,-5.0,,,-15.5,-12.0,-8.5,-6.75,-5.0,-3.25,-1.5,0.25,2.0,5.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
ST,Sweeper,velo,V1 embedded reference,,81.9,2.2,,,81.9,,,75.30000000000001,77.5,79.7,80.80000000000001,81.9,83.0,84.10000000000001,85.2,86.30000000000001,88.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
ST,Sweeper,ivb,V1 embedded reference,,1.5,2.8,,,1.5,,,-6.899999999999999,-4.1,-1.2999999999999998,0.1,1.5,2.9,4.3,5.699999999999999,7.1,9.9,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
ST,Sweeper,hb_normalized,V1 embedded reference,,-12.0,3.0,,,-12.0,,,-21.0,-18.0,-15.0,-13.5,-12.0,-10.5,-9.0,-7.5,-6.0,-3.0,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CU,Curveball,velo,V1 embedded reference,,79.4,2.8,,,79.4,,,71.0,73.80000000000001,76.60000000000001,78.0,79.4,80.80000000000001,82.2,83.60000000000001,85.0,87.80000000000001,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CU,Curveball,ivb,V1 embedded reference,,-9.3,5.0,,,-9.3,,,-24.3,-19.3,-14.3,-11.8,-9.3,-6.800000000000001,-4.300000000000001,-1.8000000000000007,0.6999999999999993,5.699999999999999,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CU,Curveball,hb_normalized,V1 embedded reference,,-8.5,4.0,,,-8.5,,,-20.5,-16.5,-12.5,-10.5,-8.5,-6.5,-4.5,-2.5,-0.5,3.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CH,Changeup,velo,V1 embedded reference,,85.5,2.4,,,85.5,,,78.3,80.7,83.1,84.3,85.5,86.7,87.9,89.1,90.3,92.7,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CH,Changeup,ivb,V1 embedded reference,,5.2,3.5,,,5.2,,,-5.3,-1.7999999999999998,1.7000000000000002,3.45,5.2,6.95,8.7,10.45,12.2,15.7,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
CH,Changeup,hb_normalized,V1 embedded reference,,14.0,3.5,,,14.0,,,3.5,7.0,10.5,12.25,14.0,15.75,17.5,19.25,21.0,24.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FS,Splitter,velo,V1 embedded reference,,86.3,2.5,,,86.3,,,78.8,81.3,83.8,85.05,86.3,87.55,88.8,90.05,91.3,93.8,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FS,Splitter,ivb,V1 embedded reference,,3.0,3.5,,,3.0,,,-7.5,-4.0,-0.5,1.25,3.0,4.75,6.5,8.25,10.0,13.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
FS,Splitter,hb_normalized,V1 embedded reference,,10.0,3.5,,,10.0,,,-0.5,3.0,6.5,8.25,10.0,11.75,13.5,15.25,17.0,20.5,Fixed V1 scouting reference; mean is MLB-centered anchor and SD is guideline spread parameter
